City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
114,Ixtapa,MX,2021-11-03 19:39:49,20.7,-105.2,87.03,62,75,6.91
115,Tilichiki,RU,2021-11-03 19:40:44,60.4667,166.1,11.14,94,95,4.29
116,Valparaiso,CL,2021-11-03 19:40:44,-33.0393,-71.6273,71.83,57,0,16.11
117,Vila Velha,BR,2021-11-03 19:39:53,-20.3297,-40.2925,80.55,69,40,17.27
118,Fortuna,US,2021-11-03 19:38:58,40.5982,-124.1573,73.85,61,40,13.0
119,Hamilton,US,2021-11-03 19:38:27,39.1834,-84.5333,51.6,44,40,1.01
120,Corpus Christi,US,2021-11-03 19:40:45,27.8006,-97.3964,85.03,61,75,7.0
121,Kodinsk,RU,2021-11-03 19:37:24,58.6881,99.1844,8.94,89,100,8.12
122,Mount Gambier,AU,2021-11-03 19:40:45,-37.8333,140.7667,44.51,100,48,0.0
123,Oranjemund,NA,2021-11-03 19:40:46,-28.55,16.4333,58.28,84,0,10.67
124,Talnakh,RU,2021-11-03 19:40:46,69.4865,88.3972,0.73,98,100,11.99
125,Alamosa,US,2021-11-03 19:40:47,37.4695,-105.87,55.35,43,1,5.75
126,Unai,BR,2021-11-03 19:40:47,-16.3575,-46.9061,83.23,53,100,4.79
127,Moerai,PF,2021-11-03 19:40:48,-22.4333,-151.3333,74.19,70,4,21.61
128,Krasnyy Chikoy,RU,2021-11-03 19:40:48,50.3643,108.7512,20.82,81,49,10.02
129,Mahebourg,MU,2021-11-03 19:40:49,-20.4081,57.7,73.69,83,75,6.91
130,Sangueya,GN,2021-11-03 19:40:49,10.7,-14.3667,77.36,90,10,3.27
131,Were Ilu,ET,2021-11-03 19:40:49,10.6,39.4333,46.62,48,0,6.2
132,Barth,DE,2021-11-03 19:40:50,54.3635,12.7249,46.09,71,100,6.78
133,Esperance,AU,2021-11-03 19:40:50,-33.8667,121.9,49.84,71,0,5.55
134,Seaford,GB,2021-11-03 19:40:51,50.7714,0.1027,48.16,89,95,11.01
135,Comodoro Rivadavia,AR,2021-11-03 19:41:51,-45.8667,-67.5,73.26,33,40,29.93
136,Umuarama,BR,2021-11-03 19:41:52,-23.7664,-53.325,83.52,56,86,3.47
137,Alice Springs,AU,2021-11-03 19:41:52,-23.7,133.8833,65.75,100,96,0.0
138,Acapulco,MX,2021-11-03 19:41:53,16.8634,-99.8901,84.02,71,91,6.93
139,Hambantota,LK,2021-11-03 19:40:34,6.1241,81.1185,79.25,85,100,12.77
140,Karratha,AU,2021-11-03 19:41:53,-20.7377,116.8463,71.69,69,5,7.61
141,Silvania,BR,2021-11-03 19:41:54,-16.6589,-48.6081,76.1,75,98,7.23
142,Saskylakh,RU,2021-11-03 19:40:11,71.9167,114.0833,-13.13,96,45,8.75
143,Ouegoa,NC,2021-11-03 19:41:54,-20.35,164.4333,72.84,70,0,9.01
144,Gidam,IN,2021-11-03 19:41:54,18.9833,81.4,68.09,95,100,2.35
145,Poya,NC,2021-11-03 19:41:55,-21.35,165.15,71.89,69,0,6.49
146,Plouzane,FR,2021-11-03 19:41:55,48.3833,-4.6167,52.09,90,75,3.44
147,Chingirlau,KZ,2021-11-03 19:41:56,51.095,54.0814,27.52,31,0,14.16
148,Cherskiy,RU,2021-11-03 19:41:56,68.75,161.3,-18.99,98,85,6.58
149,Marrakesh,MA,2021-11-03 19:41:57,31.6315,-8.0083,68.07,73,40,9.22
150,Oak Ridge,US,2021-11-03 19:37:54,36.0104,-84.2696,52.45,58,75,5.75
151,Wakkanai,JP,2021-11-03 19:41:57,45.4094,141.6739,47.91,87,100,15.48
152,Saldanha,ZA,2021-11-03 19:41:58,-33.0117,17.9442,60.85,86,0,6.49
153,Chokurdakh,RU,2021-11-03 19:40:37,70.6333,147.9167,-16.31,99,92,6.85
154,Naze,JP,2021-11-03 19:41:58,28.3667,129.4833,64.18,67,0,11.92
155,Aykhal,RU,2021-11-03 19:41:42,66.0,111.5,-20.24,100,99,3.11
156,Pochutla,MX,2021-11-03 19:41:59,15.7432,-96.4661,89.82,57,87,7.63
157,Siguiri,GN,2021-11-03 19:41:59,11.6667,-9.5,77.41,71,47,1.23
158,Arraial Do Cabo,BR,2021-11-03 19:40:44,-22.9661,-42.0278,75.16,83,40,17.27
159,Gat,IL,2021-11-03 19:41:32,31.61,34.7642,70.48,73,0,7.54
160,Saint-Philippe,RE,2021-11-03 19:42:00,-21.3585,55.7679,72.99,79,16,6.91
161,Prado,BR,2021-11-03 19:42:00,-17.3411,-39.2208,77.56,90,43,6.93
162,Oussouye,SN,2021-11-03 19:42:01,12.485,-16.5469,84.38,74,9,6.02
163,Bilma,NE,2021-11-03 19:42:02,18.6853,12.9164,84.06,16,0,5.28
164,Mandalgovi,MN,2021-11-03 19:42:02,45.7625,106.2708,32.95,56,23,7.76
165,Tessalit,ML,2021-11-03 19:42:03,20.1986,1.0114,85.35,13,3,7.7
166,Nago,JP,2021-11-03 19:42:04,26.5881,127.9761,69.96,67,10,8.32
167,Aksarka,RU,2021-11-03 19:42:04,66.5606,67.7975,27.01,90,86,16.24
168,Cayenne,GF,2021-11-03 19:42:05,4.9333,-52.3333,86.04,77,20,5.99
169,Clyde River,CA,2021-11-03 19:41:29,70.4692,-68.5914,20.95,87,96,32.95
170,Langarud,IR,2021-11-03 19:42:05,37.197,50.1535,64.38,93,100,2.91
171,Sambava,MG,2021-11-03 19:42:06,-14.2667,50.1667,74.71,85,6,3.04
172,Rio Grande,BR,2021-11-03 19:42:06,-32.035,-52.0986,77.11,90,100,11.12
173,Alenquer,BR,2021-11-03 19:42:07,-1.9417,-54.7383,88.14,52,77,4.72
174,Tezu,IN,2021-11-03 19:42:07,27.9167,96.1667,63.75,37,26,4.72
175,Husavik,IS,2021-11-03 19:42:08,66.0449,-17.3389,39.11,73,90,21.25
176,Souillac,MU,2021-11-03 19:42:08,-20.5167,57.5167,73.78,83,75,6.91
177,Cabo San Lucas,MX,2021-11-03 19:39:46,22.8909,-109.9124,91.51,54,1,11.5
178,Hwange,ZW,2021-11-03 19:42:09,-18.3693,26.5019,85.23,35,71,7.2
179,Oiba,CO,2021-11-03 19:42:09,6.2639,-73.2988,69.94,89,100,2.19
180,East London,ZA,2021-11-03 19:42:10,-33.0153,27.9116,65.44,81,10,10.09
181,Soure,BR,2021-11-03 19:42:10,-0.7167,-48.5233,83.37,71,87,10.89
182,Ystad,SE,2021-11-03 19:42:11,55.4297,13.8204,40.37,86,58,3.67
183,Kysyl-Syr,RU,2021-11-03 19:43:11,63.8986,122.7617,15.42,96,99,4.03
184,Khatanga,RU,2021-11-03 19:43:12,71.9667,102.5,6.42,91,100,17.13
185,Chapais,CA,2021-11-03 19:42:17,49.7834,-74.8492,31.78,81,100,8.63
186,Hasaki,JP,2021-11-03 19:43:12,35.7333,140.8333,50.4,55,100,11.81
